z_idx,time_s,x_m,y_m,yaw_bin
0,0.1,11.3,5.9,0
1,0.30000000000000004,11.5,5.9,0
2,0.5,11.700000000000001,5.9,0
3,0.7000000000000001,11.9,5.9,0
4,0.9,12.100000000000001,5.9,0
5,1.1,12.3,5.9,0
6,1.3,12.5,5.9,0
7,1.5,12.700000000000001,5.9,0
8,1.7000000000000002,12.9,5.9,0
9,1.9000000000000001,13.100000000000001,5.9,0
10,2.1,13.3,5.9,0
11,2.3000000000000003,13.5,5.9,0
12,2.5,13.700000000000001,5.9,0
13,2.7,13.9,5.9,0
14,2.9000000000000004,14.100000000000001,5.9,0
15,3.1,14.3,5.9,0
16,3.3000000000000003,14.5,5.9,0
17,3.5,14.700000000000001,5.9,0
18,3.7,14.700000000000001,5.9,23
19,3.9000000000000004,14.700000000000001,5.9,22
20,4.1000000000000005,14.700000000000001,5.9,21
21,4.3,14.700000000000001,5.9,20
22,4.5,14.700000000000001,5.9,19
23,4.7,14.700000000000001,5.9,18
24,4.9,14.700000000000001,5.7,18
25,5.1000000000000005,14.700000000000001,5.5,18
26,5.300000000000001,14.700000000000001,5.300000000000001,18
