t_step,time_s,x_m,y_m
0,0.1,1.7000000000000002,1.7000000000000002
1,0.30000000000000004,1.7000000000000002,1.7000000000000002
2,0.5,1.7000000000000002,1.7000000000000002
3,0.7000000000000001,1.7000000000000002,1.7000000000000002
4,0.9,1.7000000000000002,1.7000000000000002
1,0.30000000000000004,1.7000000000000002,1.7000000000000002
2,0.5,1.7000000000000002,1.7000000000000002
3,0.7000000000000001,1.7000000000000002,1.7000000000000002
4,0.9,1.7000000000000002,1.7000000000000002
1,0.30000000000000004,1.7000000000000002,1.7000000000000002
2,0.5,1.7000000000000002,1.7000000000000002
3,0.7000000000000001,1.7000000000000002,1.7000000000000002
4,0.9,1.7000000000000002,1.7000000000000002
1,0.30000000000000004,1.7000000000000002,1.7000000000000002
2,0.5,1.7000000000000002,1.7000000000000002
3,0.7000000000000001,1.7000000000000002,1.7000000000000002
4,0.9,1.7000000000000002,1.7000000000000002
1,0.30000000000000004,1.7000000000000002,1.7000000000000002
2,0.5,1.7000000000000002,1.7000000000000002
3,0.7000000000000001,1.7000000000000002,1.7000000000000002
4,0.9,1.7000000000000002,1.7000000000000002
1,0.30000000000000004,1.7000000000000002,1.7000000000000002
2,0.5,1.7000000000000002,1.7000000000000002
3,0.7000000000000001,1.7000000000000002,1.7000000000000002
4,0.9,1.7000000000000002,1.7000000000000002
1,0.30000000000000004,1.7000000000000002,1.7000000000000002
2,0.5,1.7000000000000002,1.7000000000000002
3,0.7000000000000001,1.7000000000000002,1.7000000000000002
4,0.9,1.7000000000000002,1.7000000000000002
1,0.30000000000000004,1.7000000000000002,1.7000000000000002
2,0.5,1.7000000000000002,1.7000000000000002
3,0.7000000000000001,1.7000000000000002,1.7000000000000002
4,0.9,1.7000000000000002,1.7000000000000002
1,0.30000000000000004,1.7000000000000002,1.7000000000000002
2,0.5,1.7000000000000002,1.7000000000000002
3,0.7000000000000001,1.7000000000000002,1.7000000000000002
4,0.9,1.7000000000000002,1.7000000000000002
1,0.30000000000000004,1.7000000000000002,1.7000000000000002
2,0.5,1.7000000000000002,1.7000000000000002
3,0.7000000000000001,1.7000000000000002,1.7000000000000002
4,0.9,1.7000000000000002,1.7000000000000002
